Sr. No.,Market Name,Fruit/Crop,Fruit/Crop Variety,Date/Time,Price (per quintal)
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-16,10000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-14,10000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-14,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-13,18000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-13,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-12,18000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-12,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-11,18000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-11,10000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-11,10000.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-09,18000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-09,8000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-07,7500.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-07,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-07,10000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-07-07,4500.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-06,10000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-06,8500.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-07-06,4500.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-06,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-05,10000.0
,F&V Mandi Narwal,Cherry,cherry-medium,2023-07-05,11000.0
,Mega F & V Aglar Shopian,Cherry,cherry-medium,2023-07-05,4500.0
,Mega F & V Aglar Shopian,Cherry,other-large,2023-07-05,20000.0
,Mega F & V Aglar Shopian,Cherry,cherry-large,2023-07-04,10000.0
